iter	Passed	Remaining
624	4233	2540
625	4241	2534
626	4247	2526
627	4253	2519
628	4261	2513
629	4266	2505
630	4274	2499
631	4280	2492
632	4289	2486
633	4302	2483
634	4309	2476
635	4314	2469
636	4323	2463
637	4330	2457
638	4339	2451
639	4345	2444
640	4355	2439
641	4361	2432
642	4368	2425
643	4374	2418
644	4380	2410
645	4389	2405
646	4395	2398
647	4403	2391
648	4409	2384
649	4417	2378
650	4424	2372
651	4434	2366
652	4441	2359
653	4447	2352
654	4454	2346
655	4460	2338
656	4468	2333
657	4476	2326
658	4485	2320
659	4491	2313
660	4498	2306
661	4503	2299
662	4509	2292
663	4517	2285
664	4522	2278
665	4529	2271
666	4534	2263
667	4539	2256
668	4546	2249
669	4552	2242
670	4557	2234
671	4565	2228
672	4571	2220
673	4577	2214
674	4583	2206
675	4588	2199
676	4594	2192
677	4600	2184
678	4605	2177
679	4612	2170
680	4617	2162
681	4622	2155
682	4629	2148
683	4634	2141
684	4640	2133
685	4646	2126
686	4652	2119
687	4659	2113
688	4665	2105
689	4671	2098
690	4678	2092
691	4690	2087
692	4700	2082
693	4707	2075
694	4714	2069
695	4723	2063
696	4731	2056
697	4736	2049
698	4746	2043
699	4752	2036
700	4763	2031
701	4769	2024
702	4777	2018
703	4783	2011
704	4792	2005
705	4797	1997
706	4805	1991
707	4811	1984
708	4817	1977
709	4825	1970
710	4830	1963
711	4838	1957
712	4844	1950
713	4849	1942
714	4857	1936
715	4863	1929
716	4871	1922
717	4876	1915
718	4881	1907
719	4888	1901
720	4893	1893
721	4899	1886
722	4905	1879
723	4910	1871
724	4916	1864
725	4922	1857
726	4927	1850
727	4933	1843
728	4938	1836
729	4944	1828
730	4950	1821
731	4957	1814
732	4962	1807
733	4969	1800
734	4974	1793
735	4979	1786
736	4985	1779
737	4991	1771
738	4997	1765
739	5002	1757
740	5008	1750
741	5014	1743
742	5019	1736
743	5025	1729
744	5032	1722
745	5038	1715
746	5043	1708
747	5050	1701
748	5055	1694
749	5062	1687
750	5068	1680
751	5073	1673
752	5079	1666
753	5086	1659
754	5096	1653
755	5101	1646
756	5106	1639
757	5113	1632
758	5118	1625
759	5123	1618
760	5130	1611
761	5136	1604
762	5141	1596
763	5148	1590
764	5154	1583
765	5162	1577
766	5168	1570
767	5173	1562
768	5180	1556
769	5187	1549
770	5195	1543
771	5202	1536
772	5211	1530
773	5217	1523
774	5231	1518
775	5239	1512
776	5245	1505
777	5252	1498
778	5261	1492
779	5268	1485
780	5277	1479
781	5282	1472
782	5290	1466
783	5296	1459
784	5301	1452
785	5309	1445
786	5314	1438
787	5321	1431
788	5327	1424
789	5332	1417
790	5340	1411
791	5346	1404
792	5352	1397
793	5358	1390
794	5365	1383
795	5371	1376
796	5377	1369
797	5383	1362
798	5388	1355
799	5394	1348
800	5400	1341
801	5405	1334
802	5411	1327
803	5417	1320
804	5422	1313
805	5428	1306
806	5434	1299
807	5439	1292
808	5449	1286
809	5455	1279
810	5460	1272
811	5467	1265
812	5474	1259
813	5481	1252
814	5487	1245
815	5494	1239
816	5505	1233
817	5510	1226
818	5517	1219
819	5522	1212
820	5527	1205
821	5534	1198
822	5539	1191
823	5546	1184
824	5552	1177
825	5557	1170
826	5564	1164
827	5570	1157
828	5575	1150
829	5583	1143
830	5588	1136
831	5595	1129
832	5601	1122
833	5610	1116
834	5616	1109
835	5622	1102
836	5631	1096
837	5638	1089
838	5650	1084
839	5656	1077
840	5665	1071
841	5671	1064
842	5678	1057
843	5684	1050
844	5689	1043
845	5696	1036
846	5701	1029
847	5708	1023
848	5713	1016
849	5718	1009
850	5725	1002
851	5730	995
852	5736	988
853	5742	981
854	5748	974
855	5753	967
856	5760	961
857	5765	954
858	5771	947
859	5778	940
860	5784	933
861	5791	927
862	5796	920
863	5801	913
864	5809	906
865	5814	899
866	5821	892
867	5827	886
868	5832	879
869	5839	872
870	5845	865
871	5850	858
872	5857	852
873	5862	845
874	5868	838
875	5875	831
876	5881	824
877	5889	818
878	5897	811
879	5904	805
880	5909	798
881	5914	791
882	5921	784
883	5927	777
884	5932	770
885	5938	764
886	5944	757
887	5950	750
888	5956	743
889	5962	736
890	5969	730
891	5975	723
892	5980	716
893	5987	709
894	5992	703
895	5998	696
896	6004	689
897	6009	682
898	6016	675
899	6021	669
900	6026	662
901	6035	655
902	6040	648
903	6046	642
904	6051	635
905	6057	628
906	6063	621
907	6069	614
908	6075	608
909	6083	601
910	6088	594
911	6094	588
912	6100	581
913	6106	574
914	6114	567
915	6120	561
916	6127	554
917	6134	547
918	6139	541
919	6146	534
920	6151	527
921	6156	520
922	6164	514
923	6170	507
924	6176	500
925	6182	494
926	6187	487
927	6194	480
928	6199	473
929	6204	467
930	6211	460
931	6217	453
932	6222	446
933	6229	440
934	6234	433
935	6240	426
936	6245	419
937	6251	413
938	6257	406
939	6263	399
940	6268	393
941	6275	386
942	6281	379
943	6293	373
944	6299	366
945	6305	359
946	6311	353
947	6316	346
948	6323	339
949	6329	333
950	6334	326
951	6341	319
952	6346	312
953	6351	306
954	6359	299
955	6364	292
956	6371	286
957	6377	279
958	6382	272
959	6389	266
960	6395	259
961	6400	252
962	6407	246
963	6412	239
964	6418	232
965	6424	226
966	6429	219
967	6437	212
968	6443	206
969	6448	199
970	6456	192
971	6461	186
972	6468	179
973	6474	172
974	6480	166
975	6487	159
976	6492	152
977	6497	146
978	6504	139
979	6510	132
980	6516	126
981	6522	119
982	6527	112
983	6533	106
984	6539	99
985	6544	92
986	6550	86
987	6556	79
988	6561	72
989	6568	66
990	6573	59
991	6579	53
992	6585	46
993	6592	39
994	6599	33
995	6604	26
996	6609	19
997	6617	13
998	6622	6
999	6627	0
